-,# name,ra,dec,mass,radius,orbital_period,semi_major_axis,eccentricity,inclination,star_distance,discovered
planet,11 Com b,185.1791667,17.7927778,-,-,326.03,1.29,0.231,-,110.6,2008
planet,11 Oph b,245.6041667,-24.0872222,21,-,730000,243,-,-,145,2007
planet,11 UMi b,229.275,71.8238889,-,-,516.22,1.54,0.08,-,119.5,2009
planet,14 And b,352.8208333,39.2361111,-,-,185.84,0.83,0,-,76.4,2008
planet,14 Her b,242.5958333,43.8216667,9.1,-,1763.3,2.845,0.369,32.7,18.1,2002
planet,14 Her c,242.5958333,43.8216667,6.9,-,52596,27.4,0.64,101,18.1,2006
planet,16 Cyg B b,295.4625,50.5175,-,-,799.5,1.68,0.689,-,21.41,1996
planet,17 Sco b,243.4625,-11.8377778,-,-,578.38,1.45,0.06,-,116,2020
planet,18 Del b,314.6083333,10.8391667,-,-,993.3,2.6,0.08,-,73.1,2008
planet,1I/'Oumuamua,0,0,-,2.00E-06,-,-,1.196,-,-,2017
planet,1RXS 1609 b,242.375,-21.0827778,14,1.7,-,330,-,-,145,2008
planet,1RXS J235133.3+312720 b,357.8903083,31.45639469,32,-,-,120,-,-,-,2012
planet,1SWASP J1407 b,211.95,-39.76194447,-,-,3725,3.9,-,-,133,2012
planet,24 Boo b,217.1625,49.84500003,-,-,30.3506,0.19,0.042,-,100,2018
planet,24 Sex b,155.8682058,-0.902243676,-,-,452.8,1.333,0.09,-,72.2084,2010
planet,24 Sex c,155.8682058,-0.902243676,-,-,883,2.08,0.29,-,72.2084,2010
planet,2I/Borisov,0,0,-,6.20E-05,-,-,3.155,-,-,2019
planet,2M 0103-55 (AB) b,15.9,-55.2656,13,-,-,84,-,-,47.2,2013
planet,2M 0219-39 b,34.84166667,-39.42305557,13.9,1.44,-,156,-,-,39.4,2015
planet,2M 0441+23 b,70.4375,23.0308333,7.5,-,-,15,-,-,140,2010
planet,2M 1252+2735 b,193.2125,27.58694446,-,-,35.08,-,0,-,197.2,2021
planet,2M 1253+2734 b,193.2541667,27.57194446,-,-,24.31,-,0.681,-,-,2021
planet,2M 1258+2630 b,194.5958333,26.50250001,-,-,11.88,-,0.598,-,-,2021
planet,2M 2140+16 b,325.1208333,16.4216667,20,0.92,7340,3.53,0.26,46.2,25,2010
planet,2M 2206-20 b,331.5958333,-20.785,30,1.3,8686,4.48,0,44.3,26.67,2010
planet,2M 2236+4751 b,339.1041667,47.86194447,12.5,-,-,230,-,-,63,2016
planet,2M J2126-81 b,321.3666667,-81.64111113,13.3,-,-,6900,-,-,24.75,2016
planet,2M0045+16,11.33929167,16.57905558,25,-,-,-,-,-,15.4,2019
planet,2M0117-34,19.44750002,-34.05694445,16.4,-,-,-,-,-,39.02,2019
planet,2M0355,58.8474051,11.56216579,28,1.22,-,-,-,-,9.1203,2008
planet,2M0437 b,69.3405544,26.850296,4,-,-,118,-,-,128.1,2021
planet,2M0444,71.11309,25.20456,50,-,-,-,-,-,143.2,2013
planet,2M0838+15 b,129.55,15.18777779,-,-,-,27,-,-,49,2013
planet,2M0838+15 c,129.55,15.18777779,-,-,-,27,-,-,49,2013
planet,2M1059-21 b,164.9625,-21.21916667,66.95,-,690,0.8,0.146,32.9,31.81,2020
planet,2M1207 A,181.8875,-39.54833336,60,-,-,42,-,-,52.4,2004
planet,2M1207 b,181.8875,-39.54833336,5,-,-,42,-,-,52.4,2004
planet,2M1510A a,227.6991667,-28.30472223,40,1.57,20.902,0.063,0.31,88.5,36.6,2020
planet,2M1510A b,227.6991667,-28.30472223,39.3,1.57,20.902,0.063,0.31,88.5,36.6,2020
planet,2MASS 0359+2009 b,59.79166667,20.16000001,20,-,-,540,-,-,117.76,2019
planet,2MASS J0001+1535,0.300687111,15.59320681,33,1.22,-,-,-,-,31.6163,2022
planet,2MASS J0030-1450,7.62555101,-14.84261002,10,1.36,-,-,-,-,26.7,2022
planet,2MASS J0031+5749,7.788700003,57.82679725,24,1.2,-,-,-,-,11.6,2022
planet,2MASS J00413538-5621127 A,10.3974532,-56.35355144,30,-,-,-,-,-,34.7133,2009
planet,2MASS J00413538-5621127 B,10.3974532,-56.35355144,15,-,126,8.9,-,-,34.7133,2010
planet,2MASS J01225093-2439505 b,20.712243,-24.664049,24.5,-,-,52,-,-,36,2013
planet,2MASS J0153-6744,28.31096,-67.73838802,17,1.48,-,-,-,-,66.2,2022
planet,2MASS J0249-0557 (AB) c,42.48495208,-5.959836363,11.6,-,-,-,-,-,48.9,2018
planet,2MASS J0249-0557A,42.48495208,-5.959836363,48,-,-,-,-,-,48.9,2018
planet,2MASS J0249-0557B,42.48495208,-5.959836363,44,-,-,-,-,-,48.9,2018
planet,2MASS J0326-2102,51.67607101,-21.034937,18,1.32,-,-,-,-,41,2022
planet,2MASS J0342-6817,55.56755201,-68.29225201,17,1.48,-,-,-,-,81,2022
planet,2MASS J0348-6022,57.032171,-60.3741839,43,0.91,-,-,-,-,9,2021
planet,2MASS J0407+1546,61.78136083,15.77931668,67,0.97,-,-,-,-,36.4421,2021
planet,2MASS J0447-1216,71.87665001,-12.27098334,51,1.02,-,-,-,-,27.7,2022
planet,2MASS J0459-2853,14.751449,-28.89434603,8,1.32,-,-,-,-,38,-
planet,2MASS J0506+5236,76.70885002,52.60940835,26,1.05,-,-,-,-,17.6,2022
planet,2MASS J06023447-0034369 b,90.643653,-0.576923,1.1,1.3,3.0525,-,-,-,-,2021
planet,2MASS J0642+4101,100.5233,41.03333301,12,1.23,-,-,-,-,16.1,2022
planet,2MASS J0718-6415,109.53631,-64.25863601,3,1.29,-,-,-,-,9.34,2022
planet,2MASS J0809+4434,122.495993,44.57267002,13,1.35,-,-,-,-,25,2022
planet,2MASS J0951-8023,147.8620833,-80.39869446,15,1.45,-,-,-,-,-,2022
planet,2MASS J10475385+2124234,161.974394,21.40651901,42,-,-,-,-,-,10.56,1999
planet,2MASS J11011926-7732383 A,165.330275,-77.54397502,50,-,-,-,-,-,168,2004
planet,2MASS J11011926-7732383 B,165.330275,-77.54397502,30,-,-,240,-,-,168,2004
planet,2MASS J1119-1137 b,169.8855958,-11.62963891,3.7,-,32850,-,-,-,-,2017
planet,2MASS J1155-7919 b,178.769,-79.32,10,-,-,582,-,-,101.15,2020
planet,2MASS J1219+3128,184.964836,31.48047602,49,0.97,-,-,-,-,19,2021
planet,2MASS J1450-7841 A,222.6708333,-78.69388891,40,-,-,300,-,-,75,2017
planet,2MASS J1450-7841 B,222.675,-78.69472225,40,-,-,300,-,-,75,2017
planet,2MASS J15344984-2952274 A,233.7076667,-29.8742778,30.1,-,-,-,-,-,15.9,2008
planet,2MASS J15344984-2952274 B,233.7076667,-29.8742778,28.2,-,5550,2.3,0.24,84.3,15.9,2008
planet,2MASS J1551+0941,237.968246,9.687469017,24,1.39,-,-,-,-,64,2022
planet,2MASS J155947+440359 b,239.9458333,44.06666668,43,-,-,1101.23,-,-,44.76,2012
planet,2MASS J1647+5632,251.815856,56.53492401,18,1.22,-,-,-,-,20.2,2022
planet,2MASS J1741-4642,265.261694,-46.70607002,26,1.23,-,-,-,-,19.8,2022
planet,2MASS J2002-0521,300.7112979,-5.364606268,13,1.36,-,-,-,-,17.6316,2022
planet,2MASS J2117-2940,319.3096333,-29.66761668,7,1.38,-,-,-,-,16.9,2022
planet,2MASS J2154-1055,328.643928,-10.92523403,33,1.17,-,-,-,-,31.1,2022
planet,2MASS J2206+3301,331.6050125,33.02067778,8,1.3,-,-,-,-,34.4,2022
planet,2MASS J2206-4217,331.6874917,-42.28921274,32,1.22,-,-,-,-,29.5966,2022
planet,2MASS J2250+2325 b,342.5625,23.42611113,30,-,-,518,-,-,41.5,2017
planet,2MASS J2322-6151,350.7208604,-61.8576385,18,1.5,-,-,-,-,43.0283,2022
planet,2MASS J2343-3646,355.89461,-36.76727702,34,1.22,-,-,-,-,40.5,2022
planet,2MASSW J2208136+292121,332.056794,29.35598201,10,-,-,-,-,-,50,2000
planet,3 Cnc b,120.1958333,17.30861112,-,-,853.64,2.52,0.04,-,243.3,2020
planet,38 Vir b,193.2964895,-3.553099291,-,-,825.9,1.82,0.03,-,-,2016
planet,4 Uma b,130.0541667,64.3280556,-,-,269.3,0.87,0.432,-,78.5,2007
planet,44 Uma b,163.3916667,65.58500001,-,-,785.74,2.16,0.11,-,200.4,2020
planet,47 Uma b,164.8708333,40.4294444,-,-,1078,2.1,0.032,-,13.97,1996
planet,47 Uma c,164.8708333,40.4294444,-,-,2391,3.6,0.098,-,13.97,2001
planet,47 Uma d,164.8708333,40.4294444,-,-,14002,11.6,0.16,-,13.97,2010
planet,51 Eri b,69.40055143,-2.473548598,2.6,1.11,10260,11.1,0.49,136,29.4,2015
planet,51 Peg b,344.3625,20.7686111,0.47,1.9,4.2308,0.052,0.0069,80,14.7,1995
planet,55 Cnc b,133.1541667,28.3338889,0.84,-,14.65314,0.11339,0.0023,89.73,12.34,1996
planet,55 Cnc c,133.1541667,28.3338889,-,-,44.373,0.23735,0.072,-,12.34,2002
planet,55 Cnc d,133.1541667,28.3338889,-,-,4867,5.446,0.0269,-,12.34,2002
planet,55 Cnc e,133.1541667,28.3338889,0.02703,0.1737,0.7365478,0.015439,0.028,90.36,12.34,2004
planet,55 Cnc f,133.1541667,28.3338889,-,-,260.91,0.7733,0.08,-,12.34,2007
planet,6 Lyn b,97.6958333,58.1627778,-,-,934.3,2.11,0.073,-,56.9,2008
planet,61 Vir b,199.6,-18.3111111,-,-,4.215,0.050201,0.12,-,8.52,2009
planet,61 Vir c,199.6,-18.3111111,-,-,38.021,0.2175,0.14,-,8.52,2009
planet,61 Vir d,199.6,-18.3111111,-,-,123.01,0.476,0.35,-,8.52,2009
planet,7 CMA c,99.1708333,-19.2558333,-,-,988.9,2.143,0.046,-,19.75,2019
planet,7 CMa b,99.1708333,-19.2558333,-,-,736.9,1.761,0.055,-,19.75,2011
planet,70 Vir b,202.1083333,13.7866667,-,-,116.67,0.48,0.43,-,22,1996
planet,75 Cet b,38.0375,-1.035,-,-,691.9,2.1,-,-,81.5,2012
planet,8 Umi b,224.2,74.90083335,-,-,93.4,0.49,0.06,-,159.1,2015
planet,81 Cet b,39.425,-3.3961111,-,-,952.7,2.5,0.206,-,97.2,2008
planet,91 Aqr b,348.9708333,-9.0875,-,-,181.4,0.7,0.027,-,45.9,2003
planet,AB Aur b,73.9416667,30.5511111,9,-,-,93.9,0.4,42.6,144,2008
planet,AB Dor C b,82.43333335,-65.44833335,13,-,-,0.58,-,-,15.8,2019
planet,AB Pic b,94.8,-58.0541667,13.5,-,-,275,-,-,47.3,2005
planet,AD 3116 b,130.6643334,19.41441632,54.2,1.02,1.982796,-,0.146,88.4,186.54,2017
planet,AS 205 A b,242.8791667,-18.6402778,-,-,24.84,0.162,0.35,-,140,2017
planet,ASASSN-16kr b,331.5,-34.24277779,42,1.05,0.061285932,0.003,-,86.4,160.5,2021
planet,ASASSN-17jf b,307.3208333,-43.67222224,60,1.12,0.0567904,0.0026,-,83.7,286,2021
planet,AU Mic b,311.2916667,-31.34083335,0.0368,0.3908,8.463,0.0645,0.04,89.03,9.79,2020
planet,AU Mic c,311.2916667,-31.34083335,0.0698,0.3131,18.859019,0.1101,0.04,88.62,9.79,2020
planet,BD+03 2562 b,177.5648029,2.760131134,-,-,481.9,1.3,0.2,-,2618,2017
planet,BD+14 4559 b,318.4,14.6894444,-,-,268.94,0.777,0.29,-,50,2009
planet,BD+15 2375 b,176.4833334,14.61638891,-,-,153.22,0.576,0.001,-,774,2016
planet,BD+15 2940 b,240.0958,15.5469,-,-,137.48,0.539,0.26,-,585,2013
planet,BD+20 2457 b,154.1875,19.8913889,-,-,379.63,1.45,0.15,-,1670,2009
planet,BD+20 2457 c,154.1875,19.8913889,-,-,621.99,2.01,0.18,-,1670,2009
planet,BD+20 274 b,25.9208333,21.005,-,-,578.2,1.3,0.21,-,-,2010
planet,BD+20 594 b,53.650967,20.599232,0.07,0.23,41.6855,0.241,0,89.55,180.39,2016
planet,BD+24 4697 b,345.4138422,25.78792796,-,-,145.081,0.5,0.50048,-,44.7922,2016
planet,BD+26 1888 b,135.6291667,25.88944447,-,-,536.78,1.19,0.2675,-,38,2016
planet,BD+45 564 b,32.94583335,45.92416669,-,-,307.88,0.83,0.12,-,53.7,2021
planet,BD+48 738 b,40.7083333,49.5869444,-,-,392.6,1,0.2,-,-,2011
planet,BD+48 740 b,40.74257617,48.93006278,-,-,733,1.7,0.76,-,678.933,2012
planet,BD+49 828 b,45.64166668,49.73000003,-,-,2590,4.2,0.35,-,-,2015
planet,BD+55 362 b,23.96250002,56.69916669,-,-,265.59,0.78,0.27,-,52.65,2021
planet,BD+60 1417 b,190.8875,69.0144,15,1.31,-,1662,-,-,44.957,2021
planet,BD+63 1405 b,271.4,63.6688889,-,-,1198.48,2.06,0.88,-,38.09,2021
planet,BD-00 4475 b,347.7125,0.409722238,-,-,723.2,1.48,0.39,-,42.69,2021
planet,BD-06 1339 c,88.25,-5.9947,-,-,125.94,0.435,0.31,-,20,2013
planet,BD-06 1339 d,88.25,-5.9947,-,-,487,1.06,0.02,-,20,2014
planet,BD-08 2823 b,150.2,-9.5166667,-,-,5.6,0.056,0.15,-,42.2,2009
planet,BD-08 2823 c,150.2,-9.5166667,-,-,237.6,0.68,0.19,-,42.2,2009
planet,BD-10 3166 b,164.6166667,-10.7702778,-,1.03,3.4878,0.046,0.0104,-,66,2000
planet,BD-11 4672 b,278.3708333,-11.63611113,-,-,1634,2.36,0.05,-,27.3,2010
planet,BD-11 4672 c,278.3708333,-11.63611113,-,-,74.2,0.3,0.4,-,27.3,2020
planet,BD-17 63 b,7.1416667,-16.2263889,-,-,655.6,1.34,0.54,-,34.6,2008
planet,CD Cet b,48.34583334,4.774722244,0.01244,-,2.2907,0.0185,-,87.48,8.609,2020
planet,CD-35 2722 b,92.33004292,-35.82533225,31,-,-,67,-,-,21.3,2011
planet,CFBD 1458 B,224.6208333,10.22861113,10.5,-,-,2.6,-,-,23.1,2011
planet,CFBDS 1458 A,224.6208333,10.22861113,24.1,-,-,-,-,-,23.1,2010
planet,CFBDS0059,14.79542917,-1.233647227,22.5,-,-,-,-,-,13,2008
planet,CFBDSIR J2149-0403 b,327.4466667,-4.052472225,21,-,-,-,-,-,55.2,2017
planet,CHXR 73 b,166.6208333,-77.6258333,12,-,-,200,-,-,-,2006
planet,CI Tau b,68.46666668,22.84166669,11.6,-,8.9891,-,0.25,50.5,158,2016
planet,CNEOS 2014-01-08,0,0,-,6.20E-12,-,-,2.4,-,-,2014
planet,COCONUTS-2 b,117.3041667,-76.70194446,6.4,1.12,-,6471,-,-,10.89,2021
planet,CT Cha b,166.0375,-76.4552778,17,2.2,-,440,-,-,165,2008
planet,CWISE 0146-0508A b,26.5467046,-5.1472375,66,-,-,129,-,-,41,2022
planet,CWISEP J144606.62-231717.8,221.5275833,-23.28827779,11,-,-,-,-,-,10.1,2019
planet,CWISEP J1935-1546,293.827793,-15.7723462,11,-,-,-,-,-,10.1,2019
planet,Cha Ha 8 b,166.9420441,-77.66914406,-,-,1895,1.02,0.59,-,196.76,2007
planet,CoRoT-1 b,102.0791667,-3.1022222,1.03,1.49,1.50896848,0.0254,0,83.96,460,2007
planet,CoRoT-10 b,291.0625,0.7461111,2.75,0.97,13.2406,0.1055,0.53,88.55,345,2010
planet,CoRoT-11 b,280.6875,5.9377778,2.33,1.43,2.994325,0.04351,0,81.41,560,2010
planet,CoRoT-12 b,100.7666667,-1.2963889,0.917,1.44,2.8280517,0.04016,0.07,85.48,1150,2010
planet,CoRoT-13 b,102.7208333,-5.0863889,1.308,0.885,4.0350906,0.051,0,88.02,1310,2010
planet,CoRoT-14 b,103.425,-5.5361111,7.6,1.09,1.51214,0.027,0,79.6,1340,2010
planet,CoRoT-15 b,97.11666668,6.186241673,63.4,1.12,3.06036,0.045,0,86.7,-,2010
planet,CoRoT-16 b,278.525,-6.0025,0.535,1.17,5.35227,0.0618,0.33,85.01,840,2010
planet,CoRoT-17 b,278.6958333,-6.6122222,2.43,1.02,3.768125,0.0461,0,88.34,920,2010
planet,CoRoT-18 b,98.17083335,0.031388901,3.47,1.31,1.90009057,0.0295,0.08,86.5,870,2011
planet,CoRoT-19 b,97.03333334,0.170555562,1.11,1.29,3.8971372,0.0518,0.047,87.61,800,2011
planet,CoRoT-2 b,291.7791667,1.3838889,3.31,1.465,1.7429964,0.0281,0,87.84,300,2007
planet,CoRoT-20 b,97.730434,0.22692,4.24,0.84,9.2431839,0.0902,0.562,88.21,1230,2011
planet,CoRoT-20 c,97.730434,0.22692,-,-,1675,2.9,0.6,-,1230,2018
planet,CoRoT-21 b,101.05245,-0.29913,2.26,1.3,2.72474,0.0417,0,86.8,-,2011
planet,CoRoT-22 b,280.6666667,6.225000011,0.06,0.4354,9.75598,0.092,0.077,89.749,592,2011
planet,CoRoT-23 b,279.782615,4.3578,2.8,1.08,3.6314,0.0477,0.16,85.7,600,2011
planet,CoRoT-24 b,101.925,-3.719444461,0.018,0.33,5.1134,0.056,0,86.5,600,2011
planet,CoRoT-24 c,101.925,-3.719444461,0.088,0.44,11.759,0.098,0,89,600,2011
planet,CoRoT-25 b,280.6292,6.5139,0.27,1.08,4.86069,0.0578,-,84.5,1000,2012
planet,CoRoT-26 b,279.75,6.97,0.52,1.26,4.20474,0.0526,0,86.8,1670,2012
planet,CoRoT-27 b,278.4958,5.5386,10.39,1.007,3.57532,0.0476,0.065,86.7,-,2012
planet,CoRoT-28 b,278.6875,5.5739,-,0.955,5.20851,0.059,0.047,-,560,2012
planet,CoRoT-29 b,278.9042,6.4797,0.85,0.9,2.85057,0.039,0.082,87.3,765,2012
planet,CoRoT-3 b,292.0541667,0.1219444,21.66,1.19,4.2567994,0.057,0,85.9,680,2008
planet,CoRoT-30 b,277.6,6.835833352,2.9,1.009,9.06005,0.0844,0.007,90,960,2017
planet,CoRoT-31 b,94.82083334,-4.422222235,0.84,1.46,4.62941,0.0586,0.02,83.2,2190,2017
planet,CoRoT-32 b,100.1958333,9.257500011,0.15,0.57,6.71837,0.071,-,89,-,2017
planet,CoRoT-33 b,279.6416667,5.624722241,59.2,1.1,5.819143,0.0579,0.07,85.5,-,2015
planet,CoRoT-4 b,102.1958333,-0.6727778,0.72,1.19,9.20166201,0.09,0,90,-,2008
planet,CoRoT-5 b,101.2791667,0.8152778,0.467,1.33,4.0379148,0.04947,0.09,85.83,400,2008
planet,CoRoT-6 b,281.075,6.6633333,2.96,1.166,8.886593,0.0855,0.1,89.07,-,2009
planet,CoRoT-7 b,100.9541667,-1.0627778,0.0149,0.136,0.8535926,0.0172,0.12,80.1,150,2009
planet,CoRoT-7 c,100.9541667,-1.0627778,0.04266,-,3.698,0.046,0.12,-,150,2009
planet,CoRoT-8 b,291.5875,1.4266667,0.2158,0.5692,6.21229,0.063,0,88.4,380,2010
planet,CoRoT-9 b,280.7875,6.2041667,0.84,0.94,95.273804,0.407,0.133,89.9,460,2010
planet,DE CVn b,201.7208334,45.54638891,-,-,4098.1,5.75,-,-,-,2018
planet,DE0630-18 (bc),97.50608729,-18.67078489,53,-,-,-,-,-,20,2020
planet,DE0630-18 a,97.50608729,-18.67078489,58,-,-,-,-,-,20,2008
planet,DENIS-P J082303.1-491201 b,125.76305,-49.200359,28.5,-,246.36,0.36,0.345,56.6,20.77,2013
planet,DH Tau b,67.425,26.5494444,11,-,-,330,-,-,-,2005
planet,DP Leo (AB) b,169.3166667,17.9613889,6.05,-,10230,8.19,0.39,-,-,2009
planet,DS Tuc A b,354.9166667,-69.19583335,0.0453,0.5085,8.138268,0.0795,-,88.73,44.12,2019
planet,DW Lyn b,106.7908625,60.64725836,-,-,1450,1.148,-,-,-,2013
planet,DW Uma b,158.4708334,58.78194447,-,-,4967,5.8,-,-,-,2016
planet,EPIC 201170410 b,170.1416667,-4.806944466,-,0.09341,6.7987,0.0349,0,89,-,2020
planet,EPIC 201238110 b,179.705933,-3.389389,-,0.167,28.1656,-,-,-,159.98,2019
planet,EPIC 201295312 b,174.011627,-2.520881,0.0379,0.245,5.65639,-,0.12,86.6,483.19,2016
planet,EPIC 201497682 b,168.936646,0.488114,-,0.062,2.13174,-,-,-,254.88,2019
planet,EPIC 201757695 b,173.9375,4.616388914,-,0.08101,2.0478,0.0296,0,89.28,-,2020
planet,EPIC 201833600 c,169.483627,5.988378,-,0.089,3.96151,-,-,-,259.33,2019
planet,EPIC 201841433 b,175.206772,6.134857,-,0.093,4.1698,0.035,-,89.001,441.94,2019
planet,EPIC 205084841 b,249,-19.5,0.3883,1.561,11.310099,0.104,-,87.99,860.4,2016
planet,EPIC 205950854 c,333.109894,-16.341755,-,0.117,8.050722,0.06231,-,89.81,245.56,2019
planet,EPIC 206024342 b,331.277222,-14.121665,-,0.152,4.50756,-,-,-,373.81,2019
planet,EPIC 206032309 b,341.240692,-13.900921,-,0.09,2.87814,-,-,-,162.09,2019
planet,EPIC 206042996 b,337.51358,-13.610113,-,0.145,5.29711,-,-,-,457.27,2019
planet,EPIC 206061524 b,335.0573522,-13.11462615,-,0.978,5.8797,0.0563,-,86.2,284.84,2016
planet,EPIC 206215704 b,335.094818,-9.509531,-,0.08,2.25372,-,-,-,110.22,2019
planet,EPIC 206317286 b,337.617584,-7.972406,-,0.086,1.58252,-,-,-,317.2,2019
planet,EPIC 211442297 b,126.553444,12.281936,0.84,1.115,20.273034,0.1367,0.137,88.82,418.58,2017
planet,EPIC 211939692.01,128.401884,19.320186,-,0.232,26.8549,-,0.16,-,-,2019
planet,EPIC 211939692.02,128.401884,19.320186,-,0.232,39.553,-,0.06,-,-,2019
planet,EPIC 211945201 b,136.573975,19.402252,0.085,0.514,19.49221,0.1493,0,87.9,182.69,2018
planet,EPIC 212036875 b,134.6916667,20.86916669,51,0.83,5.16992,0.0621,0.134,83.9,-,2019
planet,EPIC 212297394 b,207.206223,-17.609905,-,0.118,2.28943,-,-,-,423.35,2019
planet,EPIC 212424622 b,202.331421,-14.359463,-,0.194,18.0983,-,-,-,622.67,2019
planet,EPIC 212499991 b,202.48877,-12.734723,-,0.143,34.885,-,-,-,285.61,2019
planet,EPIC 212587672 b,205.444702,-10.862432,-,0.1,15.2841,-,-,-,322.88,2019
planet,EPIC 212737443 b,204.221695,-7.318144,0.02907,0.231,13.603,0.098,0.2,89.071,347.45,2019
planet,EPIC 212737443 c,204.221695,-7.318144,0.0303,0.24,65.55,0.28,-,89.63,347.45,2019
planet,EPIC 219388192 b,289.3916667,-16.87166669,36,0.846,5.292569,0.0593,0.1893,89.63,300,2016
planet,EPIC 220554210 c,13.432017,7.995316,-,0.132,0.70531,-,-,-,502.28,2019
planet,EPIC 246193072 b,351.1333333,-5.164166681,0.26,0.774,12.4551225,0.1016,0.0697,89.22,230.4,2020
planet,EPIC 246851721 b,78.91975001,16.27874168,3,1.051,6.180235,0.07229,-,86.21,376,2018
planet,FL Lyr b,288.0208333,46.32416668,-,-,4400,-,-,-,138,2015
planet,FU Tau b,65.8958333,25.0508333,15,-,-,800,-,-,140,2009
planet,Fomalhaut b,344.4125,-29.6222222,0.208,-,320000,117,0.11,-,7.704,2008
planet,G 196-3 b,151.0894287,50.38705202,15,-,-,-,-,-,21.805,1998
planet,G 264-012 b,326.6708333,66.80583335,-,-,2.30538,0.02279,-,-,15.986,2021
planet,G 264-012 c,326.6708333,66.80583335,-,-,8.0518,0.0525,-,-,15.986,2021
planet,G 9-40 b,134.718109,21.076048,0.016,0.181,5.746007,0.0385,0,88.57,27.93,2019
planet,G204-39 b,269.4623593,46.58864595,29,-,-,2685,-,-,13.9908,2010
planet,GJ 1061 b,54,-44.5127778,-,-,3.204,0.021,0.31,-,3.6732,2019
planet,GJ 1061 c,54,-44.5127778,-,-,6.689,0.035,0.29,-,3.6732,2019
planet,GJ 1061 d,54,-44.5127778,-,-,12.434,0.052,0.54,-,3.6732,2019
planet,GJ 1132 b,153.7166667,-47.15666668,0.00522,0.1035,1.628931,0.0154,0,-,12.04,2015
planet,GJ 1132 c,153.7166667,-47.15666668,-,-,8.929,0.0476,0.27,-,12.04,2018
planet,GJ 1214 b,258.8291667,4.9638889,0.02571,0.24463,1.580404497,0.01411,0.27,88.17,13,2009
planet,GJ 1252 b,306.925,-56.45694446,0.00658,0.10643,0.5182349,0.00916,-,85,20.38,2018
planet,GJ 1265 b,333.4291667,-17.68555557,-,-,3.6511,0.026,0.04,-,10.255,2018
planet,GJ 143 b,51.74583335,-63.49916669,0.0714,0.2329,35.61253,0.1932,0.188,89.33,16.33,2018
planet,GJ 143 c,51.74583335,-63.49916669,0.01164,0.07958,7.78993,0.0695,-,88.9,16.33,2018
planet,GJ 15A b,4.595355508,44.02295228,-,-,11.4407,0.072,0.094,-,3.587,2014
planet,GJ 160.2 b,61.64517268,-20.85311833,-,-,9.7471,0.079,0.02,-,-,2014
planet,GJ 163 b,62.3167,-53.3736,-,-,8.6312,0.06,0.02,-,15,2012
planet,GJ 163 c,62.3167,-53.3736,-,-,25.637,0.124,0.03,-,15,2012
planet,GJ 163 d,62.3167,-53.3736,-,-,604,1.021,0.02,-,15,2013
planet,GJ 163 e,62.3167,-53.3736,-,-,349,0.7,0.03,-,15,2019
planet,GJ 163 f,62.3167,-53.3736,-,-,109.5,0.326,0.04,-,15,2019
planet,GJ 176 b,70.7333333,18.9580556,-,-,8.7748,0.066,0.08,-,9.42,2007
planet,GJ 176 c,70.7333333,18.9580556,-,-,28.586,0.146,0.02,-,9.42,2009
planet,GJ 179 b,73.025,6.4766667,-,-,2288,2.41,0.21,-,12.3,2010
planet,GJ 179 c,73.025,6.4766667,-,-,3.4798,0.032,0.04,-,12.3,2019
planet,GJ 180 b,73.45824902,-17.77341391,-,-,17.132,0.092,0.02,-,-,2014
planet,GJ 180 c,73.45824902,-17.77341391,-,-,24.329,0.129,0.09,-,-,2014
planet,GJ 180 d,73.45824902,-17.77341391,-,-,106.341,0.31,0.16,-,-,2020
planet,GJ 2056 b,108.0208333,-24.89194447,-,-,69.971,0.283,0.72,-,28.47,2020
planet,GJ 2056 c,108.0208333,-24.89194447,-,-,2982.394,3.453,0.81,-,28.47,2020
planet,GJ 221 e,88.25,-5.9947,-,-,2.3946,0.03,0.03,-,20,2019
planet,GJ 229 A b,92.64423055,-21.86464217,-,-,523.242,0.896,0.17,-,5.757,2014
planet,GJ 229 A c,92.64423055,-21.86464217,-,-,122.005,0.339,0.29,-,5.757,2020
planet,GJ 229 B,92.64423055,-21.86464217,35,-,52890,19.433,0.03,-,5.757,1995
planet,GJ 251 b,103.7,33.26638891,-,-,14.238,0.0818,0.1,-,6.581,2020
planet,GJ 27.1 b,9.995107978,-43.74677819,-,-,15.819,0.101,0.08,-,-,2014
planet,GJ 273 b,111.8520417,5.225777789,0.00922,-,18.64,0.091,0.1,80,3.8,2017
planet,GJ 273 c,111.8520417,5.225777789,0.00374,-,4.72322,0.036,0.17,80,3.8,2017
planet,GJ 273 d,111.8520417,5.225777789,0.03448,-,413.9,0.712,0,80,3.8,2019
planet,GJ 273 e,111.8520417,5.225777789,0.0297,-,542,0.849,0,80,3.8,2019
planet,GJ 3021 b,4.05,-79.8511111,-,-,133.71,0.49,0.511,-,17.62,2000
planet,GJ 3082 b,18.64166668,-53.94222225,-,-,11.942,0.079,0.26,-,16.63,2020
planet,GJ 3138 b,32.29541667,-16.33958335,-,-,5.974,0.057,0.11,-,-,2017
planet,GJ 3138 c,32.29541667,-16.33958335,-,-,1.22003,0.0197,0.19,-,-,2017
planet,GJ 3138 d,32.29541667,-16.33958335,-,-,257.8,0.698,0.32,-,-,2017
planet,GJ 317 b,130.2458333,-23.4563889,-,-,695.66,1.151,0.07,-,15.1,2007
