-,# name,ra,dec,mass,radius,orbital_period,semi_major_axis,eccentricity,inclination,star_distance,discovered
planet,Kepler-968 c,285.602528,50.112038,-,0.151,5.70940492,-,-,-,312,2016
planet,Kepler-969 b,288.372508,47.933556,-,0.185,34.1731714,-,-,-,411,2016
planet,Kepler-969 c,288.372508,47.933556,-,0.088,1.6829346,-,-,-,411,2016
planet,Kepler-97 b,287.326624,48.673431,0.011,0.132,2.58664,-,-,-,405.58,2014
planet,Kepler-97 c,287.326624,48.673431,1.08,-,789,-,-,-,405.58,2014
planet,Kepler-970 b,289.62523,40.708726,-,0.247,16.73652231,-,-,-,350,2016
planet,Kepler-971 b,284.094587,41.182821,-,0.19,9.59070716,-,-,-,345,2016
planet,Kepler-972 b,295.828703,43.425495,-,0.415,7.03932553,-,-,-,1304,2016
planet,Kepler-973 b,290.165258,49.923862,-,0.175,49.6077331,-,-,-,297,2016
planet,Kepler-974 b,285.013102,40.220753,-,0.14,4.19449651,-,-,-,121,2016
planet,Kepler-975 b,290.54855,38.495275,-,0.132,1.97034246,-,-,-,404,2016
planet,Kepler-976 b,289.869641,46.729706,-,0.353,105.9564148,-,-,-,1020,2016
planet,Kepler-977 b,291.51621,42.248196,-,0.234,26.85328322,-,-,-,664,2016
planet,Kepler-978 b,286.710723,43.043453,-,0.267,49.6221509,-,-,-,624,2016
planet,Kepler-979 b,300.371281,46.408276,-,0.243,8.0880135,-,-,-,606,2016
planet,Kepler-98 b,285.661662,37.964506,0.011,0.178,1.54168,-,-,-,353.87,2014
planet,Kepler-980 b,294.613008,45.060169,-,0.238,11.55102504,-,-,-,804,2016
planet,Kepler-981 b,289.248907,47.650101,-,0.206,4.46975774,-,-,-,913,2016
planet,Kepler-982 b,288.41768,46.590427,-,0.201,15.7738221,-,-,-,702,2016
planet,Kepler-983 b,285.10406,45.008167,-,0.211,60.0855082,-,-,-,655,2016
planet,Kepler-984 b,296.958868,46.394127,-,0.189,43.0342272,-,-,-,461,2016
planet,Kepler-985 b,290.144308,44.049953,-,0.266,116.331901,-,-,-,741,2016
planet,Kepler-986 b,293.094007,42.896431,-,0.211,56.4349938,-,-,-,563,2016
planet,Kepler-987 b,289.41107,46.130848,-,0.291,105.3033148,-,-,-,936,2016
planet,Kepler-988 b,290.708386,42.237251,-,0.185,17.76080053,-,-,-,248,2016
planet,Kepler-989 b,281.582909,47.233631,-,0.197,7.96431535,-,-,-,484,2016
planet,Kepler-99 b,297.354004,41.300049,0.019,0.132,4.60358,-,-,-,209.63,2014
planet,Kepler-990 b,297.938209,46.881393,-,0.232,9.91723428,-,-,-,933,2016
planet,Kepler-990 c,297.938209,46.881393,-,0.136,0.53835431,-,-,-,933,2016
planet,Kepler-991 b,297.090655,49.626572,-,0.227,82.5342519,-,-,-,370,2016
planet,Kepler-992 b,284.43028,47.641785,-,0.145,20.16034462,-,-,-,268,2016
planet,Kepler-993 b,292.614101,44.394661,-,0.265,22.08557563,-,-,-,298,2016
planet,Kepler-994 b,289.072225,47.40707,-,0.143,1.15116651,-,-,-,170,2016
planet,Kepler-995 b,284.615727,39.131038,-,0.241,28.26731672,-,-,-,659,2016
planet,Kepler-996 b,291.912789,41.533611,-,0.177,3.77059058,-,-,-,1098,2016
planet,Kepler-997 b,289.233369,49.938934,-,0.121,2.70730672,-,-,-,470,2016
planet,Kepler-998 b,296.754151,49.208744,-,0.207,5.65377733,-,-,-,996,2016
planet,Kepler-999 b,299.660466,46.198418,-,0.209,5.99185702,-,-,-,568,2016
planet,L 168-9 b,350.0333333,-60.06527779,0.0145,0.124,1.4015,0.02091,0.21,85.5,25.15,2020
planet,L 98-59 b,122.5333333,-68.31305557,0.0013,0.0758,2.2531136,0.02191,0.1,87.71,10.623,2018
planet,L 98-59 c,122.5333333,-68.31305557,0.00698,0.12356,3.6906777,0.0304,0.103,88.11,10.623,2018
planet,L 98-59 d,122.5333333,-68.31305557,0.0061,0.1357,7.4507245,0.0486,0.074,88.449,10.623,2018
planet,L 98-59 e,122.5333333,-68.31305557,-,-,12.796,0.0717,0.128,-,10.623,2021
planet,L2 Pup b,108.3846588,-44.63973974,12,-,-,2,-,-,64,2016
